id,name,flag,vessel_type_id,imo,call_sign,bruttotons,length_overall,vessel_status_id,checked,in_zone
439,Ostronovoy 15,RU,2,9256810.0,UBLZ6,1632.0,62.0,1,True,True
440,Sheanne,IE,2,9280093.0,EIGP,1588.0,62.0,1,True,True
441,Olgarry,IE,2,9278193.0,EIDF,850.0,51.0,1,True,True
442,Father McKee,IE,2,9295878.0,EIPG,1499.0,65.0,1,True,True
443,Brendelen,IE,2,9295880.0,EINR,1579.0,65.0,1,True,True
444,Western Endeavour,IE,2,8610681.0,EIDN,1988.0,71.0,1,True,True
445,Felucca,MA,2,9131981.0,CNA5730,1093.0,58.0,1,True,True
446,Vigilant,IE,2,9131979.0,EIPX,1093.0,53.0,1,True,True
447,Atlantic Challenge D642,IE,2,9213442.0,EI5772,1783.0,59.0,1,True,True
448,Pacelli,IE,2,9294446.0,EIDG,884.0,51.0,1,True,True
449,Tina Jeanette,MA,2,9133898.0,CNA6129,1094.0,51.0,1,True,True
450,Ostronovoy 14,RU,2,9317688.0,UBAZ6,1152.0,53.0,1,True,True
451,Paula,IE,2,9605516.0,EILQ9,1375.0,63.0,1,True,True
452,Western Viking,IE,2,9746085.0,EIQD6,1135.0,56.0,1,True,True
454,Gilija,LT,2,7003829.0,LYSK,543.0,51.0,3,True,True
460,ŽALGIRIS,LT,2,8016433.0,LYAS,622.0,50.0,3,True,False
472,Annelies Ilena,PL,2,9204556.0,SPG4839,14055.0,145.0,1,True,True
473,Dirk Dirk,NL,2,8209171.0,PBBZ,3181.0,95.0,1,True,True
474,Alida,NL,2,8224418.0,PCLU,3274.0,100.0,1,True,True
475,Zeeland,NL,2,8901913.0,PIWT,6005.0,115.0,1,True,True
476,Frank Bonefaas,GB,2,9074951.0,MFYP7,6562.0,120.0,1,True,True
477,Carolien,NL,2,9162655.0,PDHC,7053.0,126.0,1,True,True
478,Afrika,NL,2,9175834.0,PEAT,7127.0,126.0,1,True,True
483,PRAIA DE BUARCOS,PT,2,5283530.0,CUYD,708.0,62.0,3,True,False
484,PRAIA DA ERICEIRA,PT,2,6613249.0,CUYL,1027.0,62.0,3,True,False
